babesheje;kuba;three;pl;past;active;indicative;causative;to be;perfective
tuyoboranwa;kuyobora;one;pl;present;passive;indicative;comitative;to lead;perfective
bayoboraguwe;kuyobora;three;pl;past;passive;indicative;frequentative;to lead;perfective
murimomubagagurwa;kuba;two;pl;present cont;passive;indicative;frequentative;to be;imperfective
bahozwa;guhora;three;pl;present;passive;indicative;neutral;to calm;perfective
narasaguye;kurasa;one;sg;past;active;indicative;frequentative;to shoot;perfective
yacuraga;guca;three;sg;past cont;active;indicative;reversive;to cut;imperfective
murogeshwa;kwoga;two;pl;present cont;passive;indicative;causative;to bathe;imperfective
cana;guca;two;sg;present;active;imperative;comitative;to cut;perfective
baberwaga;kuba;three;pl;past cont;passive;indicative;applicative;to be;imperfective
nogaga;kwoga;one;sg;past cont;active;indicative;neutral;to bathe;imperfective
tubona;kubona;one;pl;present;active;indicative;neutral;to see;perfective
nzabambonurwa;kubona;one;sg;future cont;passive;indicative;reversive;to see;imperfective
uzakubiturura;gukubita;two;sg;future;active;indicative;iterative;to beat;perfective
tuzaraswa;kurasa;one;pl;future;passive;indicative;neutral;to shoot;perfective
nozagurwe;kwoga;one;sg;present;passive;subjunctive;frequentative;to bathe;perfective
mwabonagurwaga;kubona;two;pl;past cont;passive;indicative;frequentative;to see;imperfective
barisha;kurya;three;pl;present;active;indicative;causative;to eat;perfective
aziburura;kwiba;three;sg;future;active;indicative;iterative;to steal;perfective
muzogesha;kwoga;two;pl;future;active;indicative;causative;to bathe;perfective
babonaguye;kubona;three;pl;past;active;indicative;frequentative;to see;perfective
mbabwe;kuba;one;sg;present;passive;subjunctive;neutral;to be;perfective
muzazimiraguzwa;kuzimira;two;pl;future;passive;indicative;frequentative;to be lost;perfective
bazababahorezwa;guhora;three;pl;future cont;passive;indicative;applicative;to calm;imperfective
yibanwa;kwiba;three;sg;present;passive;indicative;comitative;to steal;perfective
tuzimirane;kuzimira;one;pl;present;active;subjunctive;comitative;to be lost;perfective
babonerwa;kubona;three;pl;present;passive;indicative;applicative;to see;perfective
