Word;Lexeme;Person;Number;Tense;Voice;Mood;Extension;Gloss;WordOld;Aspect;Tense2;WordSyl;WordSyl2
ndaca;guca;one;sg;present cont;active;indicative;neutral;to cut;ndaca;imperfective;present;.nda.ca.;nda.ca
ndacisha;guca;one;sg;present cont;active;indicative;causative;to cut;ndacisha;imperfective;present;.nda.ci.sha.;nda.ci.sha
ndacira;guca;one;sg;present cont;active;indicative;applicative;to cut;ndacira;imperfective;present;.nda.ci.ra.;nda.ci.ra
ndacana;guca;one;sg;present cont;active;indicative;comitative;to cut;ndacana;imperfective;present;.nda.ca.na.;nda.ca.na
ndacagagura;guca;one;sg;present cont;active;indicative;frequentative;to cut;ndacagagura;imperfective;present;.nda.ca.ga.gu.ra.;nda.ca.ga.gu.ra
ndacurura;guca;one;sg;present cont;active;indicative;iterative;to cut;ndacurura;imperfective;present;.nda.cu.ru.ra.;nda.cu.ru.ra
ndacura;guca;one;sg;present cont;active;indicative;reversive;to cut;ndacura;imperfective;present;.nda.cu.ra.;nda.cu.ra
uraca;guca;two;sg;present cont;active;indicative;neutral;to cut;uraca;imperfective;present;.u.ra.ca.;u.ra.ca
uracisha;guca;two;sg;present cont;active;indicative;causative;to cut;uracisha;imperfective;present;.u.ra.ci.sha.;u.ra.ci.sha
uracira;guca;two;sg;present cont;active;indicative;applicative;to cut;uracira;imperfective;present;.u.ra.ci.ra.;u.ra.ci.ra
uracana;guca;two;sg;present cont;active;indicative;comitative;to cut;uracana;imperfective;present;.u.ra.ca.na.;u.ra.ca.na
uracagagura;guca;two;sg;present cont;active;indicative;frequentative;to cut;uracagagura;imperfective;present;.u.ra.ca.ga.gu.ra.;u.ra.ca.ga.gu.ra
uracurura;guca;two;sg;present cont;active;indicative;iterative;to cut;uracurura;imperfective;present;.u.ra.cu.ru.ra.;u.ra.cu.ru.ra
uracura;guca;two;sg;present cont;active;indicative;reversive;to cut;uracura;imperfective;present;.u.ra.cu.ra.;u.ra.cu.ra
araca;guca;three;sg;present cont;active;indicative;neutral;to cut;araca;imperfective;present;.a.ra.ca.;a.ra.ca
