bazabonwa;kubona;three;pl;future;passive;indicative;neutral;to see;perfective
babonanwe;kubona;three;pl;present;passive;subjunctive;comitative;to see;perfective
nzakundurura;gukunda;one;sg;future;active;indicative;iterative;to love;perfective
nkubitana;gukubita;one;sg;present;active;indicative;comitative;to beat;perfective
bacisha;guca;three;pl;present;active;indicative;causative;to cut;perfective
twacagaguraga;guca;one;pl;past cont;active;indicative;frequentative;to cut;imperfective
nzasomerwa;gusoma;one;sg;future;passive;indicative;applicative;to read;perfective
nzabanyoborerwa;kuyobora;one;sg;future cont;passive;indicative;applicative;to lead;imperfective
mwandikanye;kwandika;two;pl;past;active;indicative;comitative;to write;perfective
ndazimira;kuzimira;one;sg;present cont;active;indicative;neutral;to be lost;imperfective
twanditswe;kwandika;one;pl;past;passive;indicative;neutral;to write;perfective
nsomururwa;gusoma;one;sg;present;passive;indicative;iterative;to read;perfective
aragirurwa;kugira;three;sg;present cont;passive;indicative;reversive;to have;imperfective
wayoborewe;kuyobora;two;sg;past;passive;indicative;applicative;to lead;perfective
tuzagurururwa;kugura;one;pl;future;passive;indicative;iterative;to buy;perfective
baboneshwaga;kubona;three;pl;past cont;passive;indicative;causative;to see;imperfective
twibiraga;kwiba;one;pl;past cont;active;indicative;applicative;to steal;imperfective
mukundira;gukunda;two;pl;present;active;indicative;applicative;to love;perfective
mporezwa;guhora;one;sg;present;passive;indicative;applicative;to calm;perfective
bazogerezwa;kwoga;three;pl;future;passive;indicative;applicative;to bathe;perfective
turiyuhagirurura;kwiyuhagira;one;pl;present cont;active;indicative;iterative;to shower;imperfective
narasuye;kurasa;one;sg;past;active;indicative;reversive;to shoot;perfective
bonesha;kubona;two;sg;present;active;imperative;causative;to see;perfective
twacururuye;guca;one;pl;past;active;indicative;iterative;to cut;perfective
bazagiranwa;kugira;three;pl;future;passive;indicative;comitative;to have;perfective
mwagiraguwe;kugira;two;pl;past;passive;indicative;frequentative;to have;perfective
yasomaguraga;gusoma;three;sg;past cont;active;indicative;frequentative;to read;imperfective
ugirirwa;kugira;two;sg;present;passive;indicative;applicative;to have;perfective
